Dummy,Beta Coefficient,P-Value,Wald Statistic,Score
addr_state_AL_NM_NJ,0.08583546883045239,0.001808644454506208,9.734263758666108,7.0
addr_state_AR_TN_MI_UT_VA_LA_PA_AZ_OH_RI_KY_DE_IN,0.15659371587601753,1.5857269847813277e-14,58.9887911642461,13.0
addr_state_CA,0.0863691112382594,6.127625658923048e-05,16.062792364219426,7.0
addr_state_MA_SD_GA_MN_WI_WA_OR_IL_CT,0.23441826163312915,2.630029819166151e-28,121.74119087313812,19.0
addr_state_MS_MT_SC_VT_KS_CO_AK_NH_WV_WY_ID_DC_ME,0.40273583689178877,3.25250599042547e-46,203.7010402424358,32.0
addr_state_NE_IA_NV_HI_FL,0.0,reference category,reference category,0.0
addr_state_NY,0.09333677007730724,0.00013449702179722315,14.57769697927515,7.0
addr_state_OK_MO_MD_NC,0.10365357065907627,4.378433009393853e-05,16.69985564045608,8.0
addr_state_TX,0.2804321659458158,1.9770185990893654e-26,113.17344305310759,23.0
annual_inc_120.0K-150.0K,0.7950183685864378,2.3079435084281683e-55,245.6481032574261,64.0
annual_inc_20.0K-40.0K,0.11308653999748436,0.004195532280367337,8.197189860957037,9.0
annual_inc_40.0K-60.0K,0.3140786766908468,4.860087733582686e-15,61.3164254402995,25.0
annual_inc_60.0K-75.0K,0.48929191157785235,1.5300262719865593e-31,136.52720925112473,39.0
annual_inc_75.0K-90.0K,0.6032142758494077,1.3839931083930029e-43,191.65479106077285,48.0
annual_inc_90.0K-120.0K,0.7078440828908809,3.149746860544693e-57,254.20255050229133,57.0
annual_inc_<=20.0K,0.0,reference category,reference category,0.0
annual_inc_>150.0K,0.8497320596309582,5.952895947139131e-56,248.3473898159059,68.0
const,-1.11845689896305,5.665191247330004e-57,253.03308883119243,319.0
dti_12.0-16.0,0.12123085370837981,1.4800341637272985e-08,32.079333208538806,10.0
dti_16.0-20.0,0.06169550496908718,0.0027718600563432535,8.951867970318673,5.0
dti_20.0-28.0,-0.007472082251293998,0.6897710729595783,0.15933330140310062,-1.0
dti_4.0-8.0,0.23807336159638307,1.7512201543816475e-18,76.9524717687029,19.0
dti_8.0-12.0,0.1642605862309753,1.3319070799166144e-12,50.28162726242026,13.0
dti_<=4.0,0.18830741275830862,3.3629556731019196e-07,26.029181842926043,15.0
dti_>28.0,0.0,reference category,reference category,0.0
emp_length_0,0.0,reference category,reference category,0.0
grade_G,0.0,reference category,reference category,0.0
home_ownership_MORTGAGE,0.09637935377236061,1.1102531027553446e-11,46.123559259742834,8.0
home_ownership_OTHER_NONE_RENT_ANY,0.0,reference category,reference category,0.0
home_ownership_OWN,0.10230715404603717,2.993150664609054e-07,26.254123341182556,8.0
initial_list_status_f,0.0,reference category,reference category,0.0
initial_list_status_w,0.21986569896013122,5.060432641674686e-63,280.7865796546987,18.0
inq_last_6mths_0.0,0.50431564385233,3.016746040117659e-63,281.8174868883976,40.0
inq_last_6mths_1.0,0.388624186293512,8.411694602802069e-38,165.1667519361756,31.0
inq_last_6mths_2.0,0.2666970230452782,3.2344468668664517e-17,71.1959907798551,21.0
inq_last_6mths_3.0,0.13165947164394762,0.0001315710545655698,14.61914562069945,11.0
inq_last_6mths_4-33,0.0,reference category,reference category,0.0
int_rate_10.0-12.0,1.3153534148598598,0.0,2279.150255847156,106.0
