variable,coefficient,std_err,t_value,p_value,conf_int_lower,conf_int_upper
const,0.10579983511350817,0.0026255043009054597,40.29695745576227,0.0,0.10065365241970413,0.11094601780731221
loan_amnt,-0.0022291947970548708,0.0008920970843660436,-2.498825336526032,0.012467949685260766,-0.00397777108968342,-0.00048061850442632096
int_rate,0.026876907541315442,0.0021265224748938947,12.638901238349948,1.7357645151246736e-36,0.022708766146723087,0.031045048935907798
emp_length,0.0009882941434067548,0.0006681848157658216,1.4790730350165902,0.13913540185538906,-0.00032139753524364494,0.0022979858220571548
annual_inc,0.0029197100055658037,0.0008219166579125501,3.5523188117163746,0.0003826663975147794,0.0013086925415151396,0.004530727469616468
dti,0.002389870978043408,0.0007541989511500643,3.1687540461295223,0.0015330758889179929,0.0009115852297568424,0.003868156726329974
inq_last_6mths,-0.0008362034091809344,0.0006763017028351496,-1.236435463160088,0.21631020624504402,-0.002161804787064861,0.0004893979687029925
mths_since_last_delinq,-0.00048619799266413655,0.0006576193197095563,-0.7393304577469993,0.45971440579374223,-0.0017751805172912668,0.0008027845319629938
open_acc,-0.0051366527347924415,0.000920396055735018,-5.580915631684632,2.4213132131137904e-08,-0.006940697105177043,-0.0033326083644078398
revol_bal,-0.000796250196065496,0.000733686957698525,-1.0852723872361358,0.2778131631454342,-0.002234330919481476,0.0006418305273504842
total_acc,0.006444622517400664,0.0009757264617269646,6.604947974859831,4.069225301304604e-11,0.004532126457312598,0.008357118577488729
tot_cur_bal,0.00546314663375983,0.000784180738232001,6.966693221867367,3.3381784511051437e-12,0.00392609436440637,0.007000198903113289
mths_since_earliest_cr_line,0.0023953651531784096,0.0007071485745165288,3.387357677721545,0.0007069539672508314,0.001009301624404095,0.003781428681952724
term_60,0.005311986519789169,0.0017180857101973352,3.0918053088160815,0.0019919699538418923,0.0019444114046997148,0.008679561634878622
region_Northeast,-0.013555588171746836,0.002186232941637949,-6.200431762587406,5.733089024672287e-10,-0.01784076649920243,-0.009270409844291243
region_South,-0.008160289791868947,0.0019791355246256384,-4.123158667172375,3.751104277701456e-05,-0.012039541858608562,-0.004281037725129331
region_West,-0.01244494449832404,0.002087327058607739,-5.962143999908141,2.528247334391323e-09,-0.0165362599768824,-0.00835362901976568
home_ownership_OWN,0.006661715693420974,0.0024591841680533834,2.7089128906901627,0.006755734288603566,0.0018415327662215245,0.011481898620620424
home_ownership_RENT_NONE_OTHER,0.0005905080147848587,0.0016101491127517794,0.36674119813392175,0.7138156709000587,-0.0025655033829605216,0.003746519412530239
purpose_debt_consolidation,-0.0016975461572866376,0.001827022062019857,-0.9291328181390006,0.3528306578336272,-0.005278644582271974,0.0018835522676986993
purpose_home_improvement,-0.005845650485915303,0.003302990798663881,-1.769805259003438,0.07677371511653779,-0.012319756843317204,0.0006284558714865981
purpose_house_car_medical,-0.003306274759844908,0.0038945403761733,-0.8489512087415022,0.3959178655193353,-0.010939862058586804,0.004327312538896987
purpose_major_purchase,-0.0018969689295019456,0.004577315436212335,-0.4144282726277788,0.678564608767205,-0.010868845865218395,0.007074908006214503
purpose_other,-0.0015870219668716746,0.0028742909549603324,-0.5521438127663651,0.5808555481007672,-0.007220844910628867,0.0040468009768855175
purpose_small_business,-0.00490907864936015,0.003569131362127251,-1.3754267218773006,0.1690134753093567,-0.011904840203191214,0.0020866829044709143
purpose_vacation_moving_wedding,0.007457737729493731,0.004392093327753286,1.6979916347334614,0.0895237671141048,-0.0011510901688499267,0.016066565627837388
verification_status_Source Verified,0.0008180536513305324,0.0018448060655925846,0.44343612403928157,0.6574547602040444,-0.002797902736515866,0.004434010039176931
verification_status_Verified,0.0011260880621869736,0.0017603367305503658,0.6397003724593672,0.5223742084549015,-0.002324302178995149,0.004576478303369096
initial_list_status_w,0.024560066573530867,0.0019548529207732424,12.563639091485271,4.476181992406545e-36,0.020728410207039243,0.02839172294002249
grade,-0.002251767044683077,0.003212789485814348,-0.7008760003185581,0.48338796488533553,-0.008549072154802852,0.004045538065436697
sub_grade,-0.014074400240229748,0.003815322816917686,-3.68891465168343,0.00022576609554126172,-0.021552715261433937,-0.0065960852190255605
